id,ISBN,Title,Publisher,Pages,Available_Copies,Image,Summary,Language,Keywords,School_id
1,088765607-2,Tully,Wikizz,274,3,http://dummyimage.com/204x100.png/cc0000/ffffff,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,Irish Gaelic,ultrices libero non mattis,2
2,846913301-2,Diplomatic Immunity (2009– ),Skynoodle,184,2,http://dummyimage.com/164x100.png/dddddd/000000,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet,Guaraní,pulvinar lobortis est phasellus,3
3,324151027-1,First Family,Divape,279,4,http://dummyimage.com/231x100.png/cc0000/ffffff,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,Luxembourgish,egestas metus aenean,1
4,764296595-8,"Green Room, The (a.k.a. Vanishing Fiancee) (La chambre verte)",Blogtags,281,2,http://dummyimage.com/244x100.png/5fa2dd/ffffff,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede,Dari,metus sapien ut nunc,2
5,703483187-4,The Cobbler,Demizz,172,2,http://dummyimage.com/159x100.png/ff4444/ffffff,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,Dari,at,1
6,943599698-1,"Guitar, The",Plajo,99,4,http://dummyimage.com/226x100.png/dddddd/000000,mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac,Icelandic,ante vel ipsum,3
7,922134385-5,"Saimaa Gesture, The (Saimaa-ilmiö)",Browseblab,222,6,http://dummyimage.com/226x100.png/ff4444/ffffff,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,Swedish,cubilia curae mauris,3
8,035278884-4,"Journey of August King, The",Jabbertype,142,4,http://dummyimage.com/202x100.png/ff4444/ffffff,egestas metus aenean fermentum donec ut mauris eget massa tempor,Macedonian,erat eros,4
9,722512365-3,Vampire Hunter D,Agivu,207,2,http://dummyimage.com/201x100.png/dddddd/000000,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper,Kashmiri,donec ut mauris,2
10,013200829-7,King Lear,Photobug,264,2,http://dummyimage.com/125x100.png/5fa2dd/ffffff,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,Kazakh,rutrum neque aenean auctor,1
