id,auth id,book id
1,3,28
2,9,45
3,8,29
4,10,48
5,10,9
6,8,6
7,3,21
8,1,69
9,5,65
10,10,45
11,6,74
12,4,43
13,8,63
14,4,87
15,8,67
16,3,80
17,10,90
18,4,90
19,7,18
20,1,6
21,2,90
22,8,63
23,3,21
24,4,98
25,6,35
26,10,17
27,9,23
28,9,60
29,2,55
30,9,77
31,10,5
32,10,66
33,7,79
34,7,11
35,5,65
36,1,12
37,2,1
38,6,52
39,5,50
40,6,2
41,3,31
42,8,74
43,9,46
44,1,62
45,6,6
46,3,99
47,7,76
48,3,3
49,5,11
50,9,41
51,3,70
52,2,21
53,6,90
54,6,31
55,7,82
56,6,62
57,9,11
58,5,23
59,8,36
60,6,10
61,2,49
62,1,100
63,8,31
64,1,69
65,9,76
66,4,24
67,8,42
68,10,35
69,5,13
70,1,31
71,2,9
72,3,6
73,9,10
74,6,17
75,1,73
76,10,7
77,5,82
78,2,32
79,6,56
80,1,57
81,3,61
82,5,6
83,2,59
84,10,39
85,8,30
86,6,31
87,7,72
88,2,32
89,2,77
90,10,42
91,5,38
92,1,93
93,7,78
94,9,34
95,8,44
96,9,91
97,10,45
98,4,41
99,9,94
100,4,6
101,4,59
102,3,14
103,6,57
104,4,89
105,3,90
106,1,26
107,2,68
108,7,99
109,2,74
110,4,48
111,8,58
112,6,68
113,6,38
114,8,44
115,4,13
116,5,45
117,9,86
118,3,39
119,5,97
120,5,59
121,6,60
122,10,28
123,4,38
124,6,35
125,6,49
126,3,85
127,6,25
128,2,38
129,8,51
130,1,66
131,9,61
132,1,20
133,5,73
134,10,88
135,1,21
136,5,78
137,10,52
138,8,78
139,8,21
140,2,7
141,5,28
142,3,18
143,10,45
144,1,80
145,1,90
146,6,11
147,9,87
148,10,100
149,9,90
150,7,15
151,4,20
152,4,35
153,1,95
154,6,23
155,4,82
156,10,10
157,8,31
158,5,52
159,7,18
160,4,78
161,7,95
162,2,22
163,5,3
164,5,34
165,8,80
166,7,99
167,8,19
168,1,66
169,5,62
170,8,53
171,7,26
172,3,86
173,7,8
174,9,76
175,3,48
176,6,80
177,6,91
178,6,3
179,6,70
180,8,27
181,6,11
182,1,10
183,9,22
184,9,75
185,5,8
186,8,38
187,2,61
188,7,80
189,7,5
190,3,68
191,8,24
192,2,48
193,6,74
194,2,56
195,2,13
196,10,57
197,10,100
198,7,93
199,8,40
200,7,54
