id,Status,Borrow Date,Admin id,Book id,User id
1,1,2022-09-24 14:44:38,4,88,49
2,0,2022-10-15 04:31:41,4,47,73
3,1,2022-06-18 18:12:46,4,1,62
4,1,2022-11-17 14:49:06,3,71,30
5,1,2022-08-06 11:49:47,2,63,61
6,0,2023-05-06 00:57:31,1,46,76
7,1,2022-08-23 08:09:41,1,51,57
8,0,2023-04-21 12:00:54,4,47,78
9,0,2023-01-10 03:25:13,2,65,53
10,1,2022-12-23 12:30:21,2,70,74
11,0,2022-07-07 11:36:42,1,14,17
12,1,2022-08-21 10:35:33,3,95,4
13,1,2023-01-18 08:35:16,4,44,45
14,0,2022-07-28 06:54:30,2,27,32
15,1,2022-07-05 09:52:47,1,93,39
16,0,2022-08-10 18:45:31,4,16,45
17,0,2022-11-29 09:56:58,4,26,14
18,1,2022-11-02 14:43:48,2,85,64
19,0,2022-12-29 05:39:01,3,69,74
20,0,2022-09-05 05:46:01,1,47,65
21,0,2023-03-28 16:39:06,3,70,18
22,0,2022-12-24 12:38:18,1,15,72
23,1,2022-08-10 04:42:17,2,26,12
24,1,2022-09-19 16:22:50,1,71,53
25,0,2022-10-01 21:24:10,4,76,51
26,0,2022-10-19 01:12:08,2,61,51
27,0,2023-04-07 22:47:19,3,81,10
28,1,2022-12-16 23:04:54,2,38,30
29,0,2022-07-19 08:08:27,1,24,56
30,1,2023-01-15 12:13:37,4,43,61
31,0,2022-11-26 20:46:53,3,69,73
32,1,2022-06-30 18:00:25,1,93,73
33,0,2022-10-17 05:34:09,1,28,81
34,0,2022-10-01 02:26:07,4,94,36
35,0,2022-07-15 17:24:24,4,48,4
36,0,2023-04-04 19:51:41,3,42,70
37,0,2022-12-14 08:48:24,3,63,53
38,0,2022-08-13 11:08:40,4,65,12
39,1,2022-10-08 23:03:11,2,91,9
40,0,2022-11-22 02:18:06,4,67,8
41,1,2022-10-16 13:46:00,1,5,76
42,0,2022-11-13 23:57:19,3,50,29
43,0,2022-08-28 16:17:41,2,71,53
44,0,2022-09-23 14:59:13,4,67,15
45,1,2022-08-15 18:22:09,2,91,77
46,1,2023-04-18 06:32:36,1,43,34
47,1,2023-04-16 05:27:25,4,78,61
48,0,2023-03-02 05:59:37,2,91,57
49,1,2022-08-28 11:01:41,2,84,3
50,0,2022-12-31 16:31:14,3,57,45
51,0,2022-10-02 13:30:07,2,16,69
52,1,2022-08-17 13:01:22,3,33,64
53,1,2023-03-30 17:08:59,1,50,61
54,0,2022-09-01 08:01:15,4,17,73
55,0,2023-04-04 22:29:36,4,88,25
56,0,2022-06-16 07:31:03,3,36,19
57,1,2022-06-27 07:46:12,4,8,6
58,1,2022-12-27 17:05:12,3,22,54
59,1,2023-02-12 14:08:59,3,71,41
60,1,2023-02-25 13:49:54,2,2,21
61,0,2023-03-30 05:06:33,4,23,44
62,1,2023-02-11 15:27:36,4,35,66
63,1,2023-05-09 06:45:37,1,1,21
64,0,2022-11-06 16:17:37,1,50,60
65,1,2023-04-06 21:54:22,1,24,5
66,0,2022-12-07 02:18:08,1,70,48
67,0,2022-10-28 13:29:54,2,53,46
68,0,2022-09-08 11:12:17,2,28,53
69,0,2022-09-18 18:53:30,3,1,73
70,0,2022-11-20 04:32:07,4,15,37
71,0,2022-08-20 21:05:04,1,24,57
72,0,2022-06-10 20:28:59,3,83,8
73,1,2022-06-17 16:11:00,1,88,71
74,1,2023-03-03 00:23:42,1,65,75
75,0,2022-12-19 22:59:29,4,95,19
76,1,2023-01-21 17:21:49,2,83,24
77,1,2022-07-08 09:37:25,2,26,32
78,0,2022-11-26 02:54:51,4,42,17
79,1,2023-03-25 01:16:35,1,82,26
80,0,2022-07-24 10:05:33,4,6,79
