id,cat id,book id
1,8,21
2,6,2
3,5,7
4,4,4
5,1,35
6,8,38
7,6,27
8,9,63
9,1,31
10,2,51
11,5,56
12,10,59
13,3,42
14,9,3
15,1,85
16,2,25
17,1,32
18,7,14
19,1,16
20,5,14
21,7,100
22,3,85
23,9,98
24,1,90
25,4,97
26,8,25
27,4,42
28,3,56
29,7,24
30,1,46
31,6,43
32,5,28
33,1,62
34,9,3
35,7,67
36,8,12
37,6,33
38,10,44
39,4,55
40,7,50
41,4,57
42,8,76
43,9,96
44,2,75
45,2,11
46,5,94
47,7,96
48,2,19
49,5,39
50,9,94
51,7,77
52,8,81
53,5,23
54,9,75
55,2,47
56,4,55
57,7,34
58,8,87
59,6,40
60,10,3
61,9,27
62,6,93
63,2,96
64,10,46
65,10,22
66,9,54
67,8,3
68,3,3
69,9,94
70,8,4
71,1,8
72,7,56
73,10,50
74,3,54
75,5,78
76,2,81
77,10,27
78,2,12
79,10,1
80,7,32
81,6,2
82,5,79
83,3,60
84,7,32
85,2,31
86,8,48
87,9,64
88,9,73
89,1,42
90,7,79
91,7,82
92,4,58
93,10,71
94,1,10
95,5,76
96,3,42
97,4,64
98,3,26
99,10,54
100,4,18
101,1,73
102,8,61
103,6,26
104,5,14
105,1,38
106,4,24
107,10,72
108,4,29
109,6,37
110,4,12
111,8,97
112,10,27
113,9,34
114,5,69
115,3,52
116,2,92
117,6,65
118,10,81
119,5,43
120,3,15
121,4,91
122,6,57
123,5,47
124,9,66
125,3,36
126,6,82
127,5,17
128,7,99
129,10,23
130,1,78
131,8,42
132,7,69
133,3,18
134,2,78
135,9,78
136,9,5
137,6,75
138,6,77
139,9,45
140,6,31
141,1,22
142,2,96
143,10,57
144,9,5
145,5,53
146,9,35
147,5,80
148,8,79
149,2,90
150,7,98
151,7,41
152,9,85
153,10,75
154,8,41
155,4,59
156,7,78
157,9,73
158,2,74
159,7,14
160,1,21
161,5,82
162,3,8
163,2,33
164,9,18
165,7,12
166,1,3
167,8,18
168,10,1
169,5,85
170,4,55
171,7,38
172,1,1
173,3,59
174,2,71
175,5,16
176,3,47
177,2,9
178,6,84
179,2,98
180,8,63
181,7,100
182,9,27
183,3,37
184,1,83
185,4,69
186,10,46
187,6,79
188,3,6
189,1,64
190,2,15
191,3,13
192,7,6
193,6,5
194,6,8
195,3,93
196,10,39
197,3,99
198,7,24
199,10,5
200,3,44
