id,user id,Text,Linkert Scale,book id
1,3,ut tellus nulla,2,7
2,6,turpis,3,86
3,3,ornare consequat,4,10
4,2,donec diam,4,10
5,8,a odio,2,29
6,4,nulla dapibus dolor,5,10
7,2,proin,5,69
8,9,dis parturient,4,71
9,7,sed,1,95
10,10,porttitor id consequat,1,79
11,8,eu nibh,1,34
12,7,congue vivamus,2,55
13,10,at,2,55
14,7,nisi vulputate,4,3
15,3,faucibus orci,1,17
16,1,varius,2,42
17,10,tortor quis turpis,1,45
18,6,non mi,1,14
19,0,eu nibh quisque,5,93
20,10,lobortis,2,73
21,8,risus,3,96
22,4,cubilia,1,81
23,5,duis,1,55
24,6,dolor morbi,2,23
25,7,ante,2,35
26,4,eu interdum eu,2,92
27,0,congue diam id,1,5
28,3,morbi,3,83
29,3,interdum mauris,5,7
30,0,nascetur ridiculus mus,1,46
31,3,in,5,25
32,3,blandit,3,26
33,7,ligula in lacus,4,63
34,7,in,5,54
35,3,fusce consequat,4,13
36,0,neque libero convallis,1,95
37,7,nam congue risus,3,77
38,10,proin at turpis,4,72
39,4,ultrices posuere cubilia,1,89
40,1,pede,5,24
41,10,nulla mollis molestie,5,22
42,0,habitasse platea,2,82
43,10,odio consequat varius,1,5
44,0,erat fermentum,3,36
45,3,vivamus vestibulum,3,70
46,8,aenean sit,5,56
47,4,dui nec,3,66
48,0,phasellus,3,27
49,7,ante,5,88
50,7,at nunc commodo,4,15
51,9,mauris laoreet ut,4,50
52,3,erat fermentum,2,52
53,7,id pretium,4,13
54,1,neque,1,71
55,10,curae nulla,3,63
56,3,sed accumsan felis,4,27
57,9,tempor convallis nulla,4,31
58,0,erat eros viverra,1,63
59,2,diam nam tristique,5,6
60,1,porttitor lorem,4,98
61,10,consequat metus sapien,1,29
62,10,in tempor,5,12
63,6,ligula suspendisse ornare,3,84
64,1,adipiscing elit,1,10
65,1,lectus pellentesque,2,68
66,0,integer a,1,47
67,1,nec,3,69
68,10,augue vestibulum,4,96
69,9,duis,2,82
70,2,ligula sit,3,29
71,4,vestibulum sed magna,1,43
72,10,ornare,3,74
73,5,nec sem duis,4,6
74,1,viverra dapibus,1,57
75,4,adipiscing elit proin,3,36
76,5,blandit mi,2,32
77,1,magna ac,1,3
78,7,felis ut at,1,4
79,10,diam nam,4,6
80,6,justo morbi ut,3,89
81,1,eget,5,70
82,1,nulla ultrices,5,53
83,7,amet,2,16
84,7,parturient,1,2
85,7,in tempor turpis,2,21
86,10,imperdiet et commodo,5,24
87,9,primis in faucibus,1,38
88,5,leo,5,14
89,0,ac lobortis,5,48
90,2,odio justo,3,29
91,1,odio elementum,2,53
92,4,condimentum,3,24
93,10,nascetur ridiculus,2,66
94,4,nisl ut volutpat,2,45
95,4,primis in faucibus,1,18
96,6,pellentesque volutpat,3,66
97,3,nullam,1,88
98,6,non,3,83
99,4,arcu libero rutrum,3,35
100,6,in quam fringilla,4,4
